crosswalk_id,district,address,crosswalk_type,latitude,longitude,has_pedestrian_light,has_audio_signal,has_push_button,is_raised_crosswalk,has_traffic_safety_detail,accessibility_score,route_recommendation_tier,support_evidence,nearest_audio_signal_id,nearest_audio_signal_distance_m,nearest_push_button_id,nearest_push_button_distance_m,data_reference_date,coordinate_note
06-0000006006,동작구,동작구 상도동 201-38 도,이단(화살표있음),37.50074721,126.9416068,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",,,29-0000000088,8.5,2026-03-20,source_columns_swapped_and_normalized
06-0000006152,동작구,동작구 상도동 26-20도,이단(화살표있음),37.50519133,126.9445181,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000004151,5.4,29-0000000318,6.0,2026-03-20,source_columns_swapped_and_normalized
06-0000006275,동작구,동작구 상도1동 512-10 도,이단(화살표있음),37.49532674,126.9563965,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000007239,2.4,29-0000000098,3.4,2026-03-20,source_columns_swapped_and_normalized
06-0000006277,동작구,동작구 상도1동 512-9 도,이단(화살표있음),37.49525418,126.9568921,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000007241,2.2,29-0000000099,1.5,2026-03-20,source_columns_swapped_and_normalized
06-0000006581,동작구,동작구 상도동 159-19도,이단(화살표있음),37.50179022,126.9456459,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002399,27.2,29-0000000313,29.2,2026-03-20,source_columns_swapped_and_normalized
06-0000006585,동작구,동작구 상도동 210-6 도,이단(화살표있음),37.49826962,126.943655,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",,,29-0000000094,7.2,2026-03-20,source_columns_swapped_and_normalized
06-0000006588,동작구,동작구 상도동 210-452구,이단(화살표있음),37.49983535,126.9428592,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000008749,5.6,29-0000000092,4.6,2026-03-20,source_columns_swapped_and_normalized
06-0000006727,동작구,동작구 상도1동 528-1도,이단(화살표있음),37.50470939,126.9506394,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",,,29-0000000339,6.1,2026-03-20,source_columns_swapped_and_normalized
06-0000006884,동작구,동작구 노량진동 232-17도,이단(화살표있음),37.51005306,126.9401916,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002398,8.3,29-0000000354,11.1,2026-03-20,source_columns_swapped_and_normalized
06-0000019178,동작구,동작구 노량진동 230-44도,이단(화살표있음),37.50789294,126.9400687,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000008742,9.6,29-0000000345,8.4,2026-03-20,source_columns_swapped_and_normalized
06-0000019354,동작구,동작구 상도1동 512-5 도,이단(화살표있음),37.49499667,126.958627,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000007341,1.8,29-0000000101,3.8,2026-03-20,source_columns_swapped_and_normalized
06-0000019356,동작구,동작구 상도1동 512-5 도,이단(화살표있음),37.4949086,126.9592123,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000007343,2.7,29-0000000103,3.6,2026-03-20,source_columns_swapped_and_normalized
06-0000023035,동작구,동작구 상도동 201-167구,이단(화살표있음),37.50054937,126.9418542,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",,,29-0000000091,4.6,2026-03-20,source_columns_swapped_and_normalized
06-0000024729,동작구,동작구 상도동 439 도,이단(화살표있음),37.50128539,126.9536162,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000011075,9.4,29-0000001403,9.0,2026-03-20,source_columns_swapped_and_normalized
06-0000031741,동작구,동작구 상도동 29-133도,일단(화살표없음),37.50508399,126.944412,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000004151,11.7,29-0000000318,13.4,2026-03-20,source_columns_swapped_and_normalized
06-0000031765,동작구,동작구 상도동 373-111 도,이단(화살표있음),37.50400043,126.9393323,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000011922,7.0,29-0000001179,6.9,2026-03-20,source_columns_swapped_and_normalized
06-0000032157,동작구,동작구 신대방동 산112-5도,이단(화살표있음),37.49503545,126.9274009,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000006182,11.3,29-0000000310,14.6,2026-03-20,source_columns_swapped_and_normalized
06-0000037867,동작구,동작구 사당동 169-20도,일단(화살표없음),37.48340221,126.9744862,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000011063,10.6,29-0000001389,10.3,2026-03-20,source_columns_swapped_and_normalized
06-0000037869,동작구,동작구 사당동 708-529도,이단(화살표있음),37.48323725,126.9747399,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000009476,6.1,29-0000001389,29.3,2026-03-20,source_columns_swapped_and_normalized
06-0000050752,동작구,동작구 상도동 157-50도,이단(화살표있음),37.50171889,126.9458929,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000003448,29.8,29-0000000314,29.0,2026-03-20,source_columns_swapped_and_normalized
06-0000004338,동작구,동작구 신대방동 395-61도,이단(화살표있음),37.49283138,126.9239549,Y,Y,N,Y,Y,6,preferred,"보행등, 음향신호기, 고원식횡단보도, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006157,동작구,동작구 상도동 23-67 도,일단(화살표없음),37.50530039,126.944605,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000004152,15.1,29-0000000317,12.1,2026-03-20,source_columns_swapped_and_normalized
06-0000006730,동작구,동작구 상도1동 508-1도,이단(화살표있음),37.5065943,126.9511915,Y,Y,N,Y,Y,6,preferred,"보행등, 음향신호기, 고원식횡단보도, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000019355,동작구,동작구 상도1동 512-4 도,이단(화살표있음),37.49505017,126.9589106,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000007342,23.7,29-0000000102,25.8,2026-03-20,source_columns_swapped_and_normalized
06-0000024728,동작구,동작구 상도동 431 대,이단(화살표있음),37.50118089,126.9537776,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000011410,6.4,29-0000001403,15.4,2026-03-20,source_columns_swapped_and_normalized
06-0000027291,동작구,동작구 본동 467-82도,일단(화살표없음),37.50851483,126.9491218,Y,Y,N,Y,Y,6,preferred,"보행등, 음향신호기, 고원식횡단보도, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000027866,동작구,동작구 신대방동 719-4 도,일단(화살표없음),37.48753838,126.9083027,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000000085,10.5,29-0000000316,12.4,2026-03-20,source_columns_swapped_and_normalized
06-0000029136,동작구,동작구 상도동 527-2 도,일단(화살표없음),37.50532037,126.944323,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000004152,11.0,29-0000000317,13.6,2026-03-20,source_columns_swapped_and_normalized
06-0000029641,동작구,동작구 상도동 521-5 도,일단(화살표있음),37.50068817,126.9448013,Y,Y,N,Y,Y,6,preferred,"보행등, 음향신호기, 고원식횡단보도, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000029643,동작구,동작구 상도동 521-17 도,일단(화살표없음),37.50140219,126.9452927,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002399,26.5,29-0000000313,24.3,2026-03-20,source_columns_swapped_and_normalized
06-0000037586,동작구,동작구 상도1동 512-9 도,이단(화살표있음),37.49538384,126.956701,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000007240,17.8,29-0000000096,20.2,2026-03-20,source_columns_swapped_and_normalized
06-0000038791,동작구,동작구 상도1동 531-5 도,일단(화살표없음),37.49726144,126.9503109,Y,Y,N,Y,Y,6,preferred,"보행등, 음향신호기, 고원식횡단보도, 교통안전시설 상세",24-0000014885,8.6,,,2026-03-20,source_columns_swapped_and_normalized
06-0000040995,동작구,동작구 상도동 373-110 도,일단(화살표없음),37.50415251,126.939379,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000011923,9.5,29-0000001178,8.7,2026-03-20,source_columns_swapped_and_normalized
06-0000041076,동작구,동작구 사당동 252 도,일단(화살표없음),37.48393855,126.972677,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002174,19.4,29-0000000320,18.1,2026-03-20,source_columns_swapped_and_normalized
06-0000044830,동작구,동작구 신대방동 701-6도,일단(화살표없음),37.48716806,126.9100699,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002208,12.3,29-0000000312,13.4,2026-03-20,source_columns_swapped_and_normalized
06-0000044831,동작구,동작구 신대방동 700-2도,일단(화살표없음),37.48700466,126.910057,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002208,10.3,29-0000000312,9.5,2026-03-20,source_columns_swapped_and_normalized
06-0000044832,동작구,동작구 신대방동 700-2도,일단(화살표없음),37.48765993,126.9084849,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000000084,9.0,29-0000000315,9.9,2026-03-20,source_columns_swapped_and_normalized
06-0000045216,동작구,동작구 사당동 252 도,일단(화살표없음),37.48411994,126.9724824,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002174,7.7,29-0000000319,8.7,2026-03-20,source_columns_swapped_and_normalized
06-0000046428,동작구,동작구 상도동 26-20도,일단(화살표없음),37.50405215,126.9391788,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000011922,7.7,29-0000001179,8.0,2026-03-20,source_columns_swapped_and_normalized
06-0000049295,동작구,동작구 신대방동 700도,일단(화살표없음),37.48824168,126.9075087,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000007118,8.5,29-0000000104,10.0,2026-03-20,source_columns_swapped_and_normalized
06-0000050748,동작구,동작구 상도동 904 대,일단(화살표없음),37.50061622,126.9453082,Y,Y,N,Y,Y,6,preferred,"보행등, 음향신호기, 고원식횡단보도, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000050750,동작구,동작구 상도동 904 대,일단(화살표없음),37.5013954,126.9458255,N,Y,Y,N,Y,6,preferred,"음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000003448,14.6,29-0000000314,14.4,2026-03-20,source_columns_swapped_and_normalized
06-0000053914,동작구,동작구 사당동 708-529도,대각선횡단보도,37.48323861,126.9745123,Y,Y,Y,N,N,6,preferred,"보행등, 음향신호기, 보행자작동신호기",24-0000009476,17.6,29-0000001389,25.7,2026-03-20,source_columns_swapped_and_normalized
06-0000055932,동작구,동작구 상도동 26-20도,이단(화살표있음),37.50520089,126.9441862,Y,Y,Y,N,N,6,preferred,"보행등, 음향신호기, 보행자작동신호기",24-0000004152,27.8,29-0000000317,29.7,2026-03-20,source_columns_swapped_and_normalized
06-0000000512,동작구,동작구 상도동 439 도,일단(화살표있음),37.49759653,126.9527327,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000011347,11.3,,,2026-03-20,source_columns_swapped_and_normalized
06-0000002953,동작구,동작구 신대방동 377-5도,이단(화살표있음),37.49819267,126.9202694,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000003388,7.4,,,2026-03-20,source_columns_swapped_and_normalized
06-0000002960,동작구,동작구 신대방동 378-10 도,일단(화살표없음),37.49835467,126.920434,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002457,2.6,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003002,동작구,동작구 사당동 323-1 도,이단(화살표있음),37.48393737,126.9773602,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000008283,14.9,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003004,동작구,동작구 사당동 708-857 천,이단(화살표있음),37.48596274,126.9751957,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003007,동작구,동작구 사당동 254-1도,일단(화살표없음),37.48314131,126.9740901,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002168,20.2,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003012,동작구,동작구 사당동 219-8도,이단(화살표있음),37.48586717,126.9689325,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002163,8.5,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003013,동작구,동작구 사당동 226-5 도,이단(화살표있음),37.48583741,126.9687026,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000009473,7.5,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003014,동작구,동작구 사당동 211-1도,이단(화살표있음),37.48685088,126.967708,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000000668,4.0,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003134,동작구,동작구 사당동 1129도,이단(화살표있음),37.47657471,126.9774702,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000014235,11.8,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003514,동작구,동작구 사당동 144-4도,이단(화살표있음),37.48525459,126.9818704,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000005791,9.6,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003856,동작구,동작구 신대방동 441-11천,이단(화살표있음),37.49022956,126.9226388,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000013828,25.3,,,2026-03-20,source_columns_swapped_and_normalized
06-0000003955,동작구,동작구 동작동 55-3도,이단(화살표있음),37.49387649,126.9826021,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000015097,8.6,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004065,동작구,동작구 사당동 79-49도,일단(화살표없음),37.49081645,126.9824053,N,Y,N,Y,Y,5,recommended,"음향신호기, 고원식횡단보도, 교통안전시설 상세",24-0000005803,4.3,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004071,동작구,동작구 사당동 1129도,일단(화살표없음),37.47674848,126.9776263,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000014234,15.0,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004090,동작구,동작구 사당동 164-74임,이단(화살표있음),37.48691434,126.9739781,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000009756,6.0,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004208,동작구,동작구 사당동 164-72도,이단(화살표있음),37.48688165,126.9741911,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000009759,5.8,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004321,동작구,동작구 신대방동 395-61도,이단(화살표있음),37.49274711,126.9231988,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004412,동작구,동작구 상도동 210-6 도,이단(화살표있음),37.49739563,126.9432062,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000011391,6.9,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004509,동작구,동작구 신대방동 395-61도,이단(화살표있음),37.49290749,126.9234036,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004510,동작구,동작구 신대방동 395-61도,일단(화살표없음),37.49302532,126.9233367,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004752,동작구,동작구 동작동 86-3도,이단(화살표있음),37.49899836,126.984545,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004860,동작구,동작구 신대방동 699도,이단(화살표있음),37.48866116,126.9062416,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000003478,16.1,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004863,동작구,동작구 신대방동 699도,이단(화살표있음),37.48898765,126.9065102,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002436,16.5,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004865,동작구,동작구 신대방동 700도,이단(화살표있음),37.48863299,126.9066901,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000009433,4.2,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004869,동작구,동작구 상도1동 517 도,이단(화살표있음),37.49764674,126.9524029,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000011343,13.1,,,2026-03-20,source_columns_swapped_and_normalized
06-0000004889,동작구,동작구 노량진동 152-7도,일단(화살표있음),37.51354592,126.9467006,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005061,동작구,동작구 대방동 64-5도,이단(화살표있음),37.51318408,126.9291497,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002362,6.4,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005065,동작구,동작구 대방동 54-2도,이단(화살표있음),37.513217,126.9315671,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000005388,14.7,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005067,동작구,동작구 대방동 49-2도,일단(화살표없음),37.51284165,126.9320081,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000005387,5.4,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005586,동작구,동작구 대방동 466-49도,이단(화살표있음),37.50006586,126.9203796,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000004153,17.9,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005588,동작구,동작구 대방동 466-51도,이단(화살표있음),37.49988379,126.9205485,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002434,7.6,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005594,동작구,동작구 대방동 466-59도,이단(화살표있음),37.49981805,126.9226486,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000007122,4.8,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005595,동작구,동작구 대방동 466-59도,일단(화살표없음),37.49991948,126.922535,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000007121,15.0,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005600,동작구,동작구 상도1동 390-2도,이단(화살표있음),37.50128554,126.9492314,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000014298,9.6,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005605,동작구,동작구 상도1동 518-1 도,이단(화살표있음),37.49877961,126.9514142,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000014297,11.9,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005611,동작구,동작구 신대방동 551-8도,이단(화살표있음),37.49278465,126.9097454,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002388,11.9,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005881,동작구,동작구 흑석동 330-8 도,이단(화살표있음),37.49901684,126.959854,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005934,동작구,동작구 대방동 466-43도,이단(화살표있음),37.5040347,126.9221894,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002409,4.7,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005961,동작구,동작구 신대방동 492-123도,일단(화살표없음),37.49640661,126.9143107,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000003435,6.6,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005972,동작구,동작구 신대방동 500-8도,이단(화살표있음),37.49684328,126.9164556,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000003988,1.1,,,2026-03-20,source_columns_swapped_and_normalized
06-0000005980,동작구,동작구 상도동 7-61도,이단(화살표있음),37.50494727,126.9533879,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000009480,25.7,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006018,동작구,동작구 신대방동 370-1대,일단(화살표있음),37.49729212,126.9190627,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000004014,21.2,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006021,동작구,동작구 대방동 503-2도,이단(화살표있음),37.50894151,126.9288496,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006022,동작구,동작구 대방동 503-2도,이단(화살표있음),37.50884123,126.9289822,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006085,동작구,동작구 대방동 408-2천,일단(화살표없음),37.4988476,126.9254427,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006086,동작구,동작구 대방동 408-2천,일단(화살표없음),37.49917078,126.9265241,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006087,동작구,동작구 대방동 408-2천,일단(화살표있음),37.49924238,126.9266304,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",,,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006089,동작구,동작구 대방동 466-60도,일단(화살표없음),37.49969099,126.9240765,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002470,17.9,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006090,동작구,동작구 대방동 466-60도,이단(화살표있음),37.49979172,126.9239452,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000002470,4.8,,,2026-03-20,source_columns_swapped_and_normalized
06-0000006093,동작구,동작구 대방동 466-60도,이단(화살표있음),37.49975968,126.9254291,Y,Y,N,N,Y,5,recommended,"보행등, 음향신호기, 교통안전시설 상세",24-0000011924,7.9,,,2026-03-20,source_columns_swapped_and_normalized
