center_name,road_address,lot_address,latitude,longitude,reservation_phone,app_service_name,weekday_reservation_start,weekday_reservation_end,weekday_vehicle_start,weekday_vehicle_end,service_area_local,service_area_outside,target_users,fare,manager,manager_phone,data_reference_date,serves_seoul,is_located_in_seoul
구리시 교통약자 이동지원센터,"경기도 구리시 동구릉로 136번길 57, 별관 2,3층","경기도 구리시 인창동 430, 별관 2, 3층",37.61313887,127.1409183,1577-3659,구리시행복콜,00:00,00:00,00:00,23:59,구리시 전지역,서울+인천+경기도,"1. 「장애인복지법 시행규칙」 제2조 제1항에 따른 보행상 장애의 정도가 심한 장애인으로서 버스ㆍ지하철 등의 대중교통 이용이 어려운 사람 (보행상 장애의 정도가 심한 사람의 판단은 보건복지부장관이 고시한 「보행상 장애 표준기준표」에 따르며, 다음 각 목에 해당하는 서류를 제출하여야 한다.)    가. 장애인 등록증(복지카드) 또는 주소지 관할 지방자치단체에서 발급하는 ‘장애정도 결정서‘    나. 보행상 장애의 정도가 심하지 않은 장애인의 경우에는 장애인 등록증(복지카드) 및 ‘보행이 어려워 특별교통수단 등이 필요하다는 소견의 전문의 진단서‘    다. 다만, 법 개정 전 1ㆍ2급 장애인은 장애인 등록증(복지카드)를, 3급이하 장애인은 휠체어 등을 이용하는 보행상 장애인으로서 특별교통수단이 필요하다는 소견의 전문의 진단서 등   2. 65세 이상 노인,임산부 및 장애의 정도가 심한 장애인(「보행상 장애 표준기준표」상의 보행상 장애가 없는 사람)으로서 버스ㆍ지하철 등 대중교통 이용이 어려운 사람(전문의 진단서 등 증빙서류를 제출한 사람에 한함)   3. 제1호 및 제2호에 해당하는 교통약자에 준하는 사람으로서 조례로 정하는 사람   4. 제1호부터 제3호까지 해당하는 교통약자를 동반하는 가족 및 보호자(휠체어 이용 시 보호자 2인 이내, 미 이용 시 1인)  ② 시행규칙 제6조 제1항 제3호에서 “조례로 정하는 사람”이란 다음 각 호의 사람을 말한다.   1. 사고ㆍ질병 등 일시적 장애로 인한 휠체어 이용자(전문의 진단서 등 증빙서류 제출한 사람에 한함)   2. 제1호 이외에 이동에 심한 불편을 느끼는 교통약자 중 특별교통수단이 필요하다고 인정하는 사람(전문의 진단서 등 증빙서류 제출한 사람에 한함)",기본요금 10Km이내 1500원+10Km 초과 5Km당 100원 + 고속도로(유료도로)통행료는 이용자 부담+주차요금 이용자 부담,경기도 구리시청,031-550-2576,2024-07-01,Y,N
군포시 교통약자 이동지원센터,경기도 군포시 수리산로 112,경기도 군포시 산본동 1151-10,37.3592167465,126.9194205511,1899-4428,군포시 교통약자 이동지원센터,08:00,20:00,00:00,23:59,군포+안양+의왕+과천,서울+경기+인천,중증보행장애인+일시적 장애인(일시적 장애로 대중교통 이용이 어려운 사람)+임산부( 출산 후 12개월까지 시민),10km 1500원+5km 추가 100원,군포도시공사,1899-4428,2025-09-11,Y,N
김포시 교통약자 이동지원센터,경기도 김포시 김포한강1로 236,경기도 김포시 운양동 1306-7,37.65330173,126.6835109,1666-0420,경기도광역이동지원시스템,00:00,23:59,00:00,23:59,관내 전체,경기도+서울시+인천시,중증보행장애인 + 일시적 보행장애(휠체어이용자) 교통약자 + 동반하는 가족 또는 보호자(2인 이내),관내 1000원+ 관외 추가요금 5km당 100원,김포시도시관리공사,031-986-9484,2026-01-05,Y,N
남양주시교통약자이동지원센터,경기도 남양주시 진건읍 진건오남로 50,경기도 남양주시 진건읍 용정리 794-48,37.65539978,127.1792621,1666-5525,경기도광역이동지원시스템,08:00,20:00,00:00,23:59,전역,서울+경기+인천,"1. 보행상의 장애인으로서 장애의 정도가 심한 장애인, 2. 일시적 휠체어 이용자",기본요금 : 1500원/10km(10km 초과 5km마다 100원),경기도 남양주시,031-590-4647,2024-05-24,Y,N
동해시교통약자이동지원센터,"강원특별자치도 동해시 동해대로 5443, 1층 109호(평릉동)","강원특별자치도 동해시 평릉동 166-4, 1층 109호",37.52769453,129.1040173,1577-2014,강원교통약자광역이동지원센터,00:00,23:59,00:00,23:59,동해시,"강원특별자치도 타 시군, 서울특별시",1. 중증보행장애인으로서 대중교통 이용이 어려운 자2. 대중교통 이용이 어려운 노약자3. 진료를 목적으로 이용하는 임신 32주 이상 임산부4. 관련규정에 따른 보장구 이용대상자 및 일시적으로 휠체어를 이용하는 사람으로서 대중교통 이용이 어려운 자,기본 4km까지 1100원+4km 초과부터 km당 100원 추가+관외이동 시 대기료 및 도로통행료 별도,강원특별자치도 동해시청,033-521-0995,2025-07-18,Y,N
보령시도로교통과,,충청남도 보령시 명천동 1022,36.34508656,126.6010488,041-933-3517,,08:00,19:00,08:00,21:00,보령시,서울+천안+익산,보행상 장애인 중 심한장애인 및 일시적으로 보행이 어려운 자+65세 이상 노인 중 보행이 어려운 자,기본요금 2km까지 1600원+이후요금 160m당 130원,충청남도 보령시청,041-930-3961,2025-12-05,Y,N
봄내콜이동지원센터,강원특별자치도 춘천시 동면 소양강로 304-11(장학리),강원특별자치도 춘천시 동면 장학리 464-1,37.914628,127.748277,1577-2014,강원특별자치도 광역 교통약자,09:00,17:00,00:00,00:00,춘천시 전지역,강원특별자치도+서울+가평,보행상의 장애인으로서 장애정도가 심한 장애인 중 휠체어이용자+만65세이상 대중교통이용이 어려운 사람 중 휠체어이용자+일시적 휠체어 사용자,4km 당 1100원+1km 당 100원/관외이용시 대기료 1시간 무료+초과 시 30분당 2000원/고속도로(유료도료)통행료는 이용자부담(기초생활수급자 통행료 면제),강원특별자치도 춘천시청,033-250-3364,2025-11-14,Y,N
부천시교통약자이동지원센터,경기도 부천시 원미구 석천로 293,경기도 부천시 원미구 중동 1024,37.51275697,126.7639108,1666-0420,경기도광역이동지원시스템,00:00,14:00,00:00,00:00,전지역,서울특별시+인천광역시+경기도,[ 보행상 장애 표준 기준표 ]의 장애의 정도가 심한 보행상 장애가 있는 사람+일시적 장애로 휠체어 이용이 불가피하다는 종합병원 진단서를 제출한 사람+교통약자를 동반하는 가족 및 보호자(2명 이내),기본요금(10km 기준) 1500원+추가요금 5km 추가시(100원),부천도시공사,032-625-9403,2025-06-24,Y,N
사)강원특별자치도시각장애인연합회 철원군지회,강원특별자치도 철원군 동송읍 금학로 169-5,강원특별자치도 철원군 동송읍 이평리 712-1,38.20394617,127.2201917,1577-2014,,01:00,01:00,01:00,01:00,철원군 관내,강원특별자치도+서울+경기,보행상 장애+65세이상 대중교통 이용 어려운 사람+보장구 이용 대상자+임산부+일시적 휠체어 이용자,기본운임(4km까지) : 1100원+거리운임(4km초과시) 100원/km 추가+관외 대기 1시간 초과시 2000원/30분 추가(기초생활수급자 및 차상위계층 대기료 50감경)+주차료 및 도로사용료 추가,강원특별자치도 철원군청 교통행정부서,033-450-5366,2024-12-03,Y,N
사)충남지체장애인협회 당진시지회,충청남도 당진시 백암1길 61,충청남도 당진시 채운동 170-2,36.88724061,126.6247065,1644-5588,,00:00,23:59,08:00,19:00,당진시 전지역,"서울,대전,인천,충북,경기도","장애등급 1급 또는 2급 장애인, 호흡기, 자폐, 정신, 지적, 1,2급에 해당하는 장애인으로써 대중교통수단의 이용이 어려운 사람 (그외 목발, 휠체어등 보장구를 사용하는 장애인) 제2조제1항에 따른 3급에 해당하는 장애인중 뇌병변 장애 또는 하지에 장애가 있는 지체장애인. 65세 이상자 중 휠체어 또는 보조기구를 이용하는 대중교통수단 등의 이용이 어려운 사람.  일시적으로 휠체어를 이용하는 사람.  차량이용시 이용자1인  보호자1인 이용가능","관내-기본요금 2km : 1.400원      -추가요금 :130원/1km      -관내 최대요금:3,200원관외-km당 260원      -대기료 1시간당 4,000원      -(병원진료시 최대 3시간)      -왕복통행료(편도,왕복)      -주차료 발생시 주차비",당진시 교통과,041-350-4523,2021-09-23,Y,N
서산시교통약자이동지원센터,"충청남도 서산시 안견로 252, 4층","충청남도 서산시 동문동 985-1 ,4층",36.77801054,126.4554934,1644-5588,충남 광역이동지원센터,00:00,23:59,00:00,23:59,서산관내 전부,"충청남도 및 대전광역시, 서울+인천+경기 대학병원",① 장애인복지법에 따른 중증보행장애인으로서 버스ㆍ지하철 등의 이용이 어려운 사람+② 대중교통의 이용이 어려운 65세 이상 노약자+③ 임산부+④ 일시적으로 보장구를 이용하는 등 대중교통수단을 이용하기 어려운 사람,1. 관내 2km 이내 기본료 1400원+관내 추가 요금 1km당 130원( 최대 요금 2800원)+2. 관외 기본요금 260원(1km)+추가 1km당 260원(대기료 30분당 2000원),"서산시 교통약자이동지원센터, 충남 광역 이동지원센터",041-665-1111,2025-05-16,Y,N
서천군 교통약자 이동지원센터,"충청남도 서천군 서천읍 충절로81번길 7, 청림주상복합빌딩 1층7호",충청남도 서천군 서천읍 군사리 649-2,36.07484589,126.6914382,041-951-0774,없음,09:00,18:00,09:00,18:00,서천군 전역,"관외: 충청남도 및 인접시도(서울,인천,대전,세종,경기,충북,전북)",.「장애인복지법 시행규칙」제2조제1항에 따른 제1급 또는 제2급 장애인으로서 버스 등의 이용이 어려운 자· 65세 이상의 사람으로서 버스 등의 이용이 어려운 사람· 교통약자를 동반하는 가족 및 보호자· 임산부 등 대중교통 이용이 어려운 사람,관내: 출발시~2km미만 1300원/출발지~2km 초과시 1300원+1km당 130원(상한액2600원)/추가요금: 대기료 30분당 2000원/관외: 출발지~2km미만 1300원/출발지~2km 초과시 1300원+1km당 260원,(사)한국지체장애인충남협회서천군지회,041-951-0774,2025-12-19,Y,N
속초시 한국지체장애인협회 특별교통수단 이동지원센터,강원특별자치도 속초시 원암학사평길74,강원특별자치도 속초시 노학동 1073-63,38.20619232,128.5156764,1577-2014,강원 교통약자 광역이동지원센터,00:00,23:59,00:00,23:59,속초시 관내,강원특별자치도 시군 및 서울특별시,보행상 중증(1 ~3급)장애인+65세 이상 중 독립적 보행이 어려우며 대중교통 이용이 어려운 사람+65세 이상 중 일시적으로 휠체어를 이용하는 사람+보호자 및 가족,기본요금 4km당 1100원+초과요금 1km당 100원,강원특별자치도 속초시,033-639-2366,2025-11-10,Y,N
수원시교통약자이동지원센터,경기도 수원시 권선구 정조로 310,경기도 수원시 권선구 대황교동 253,37.23777723,127.018347,1666-0420,경기도 광역이동서비스,00:00,23:59,00:00,23:59,수원시 전체,서울+경기+인천,보행상 장애가 있는 중증장애인·종합병원에서 대중교통수단의 이용이 어렵워 휠체어 이용이 필요하다는 내용이 담긴 진단서를 제출한 사람 중 센터 심사 승인자   ※ 자세한 사항은 센터 문의,기본거리 10km 1700원+기본거리 초과 시 5km당 100원  추가+고속도로(유료도로)통행료 및 주차료는 이용자 부담,수원도시공사,031-253-5525,2026-01-19,Y,N
안산시 교통약자이동지원센터(하모니콜),경기도 안산시 단원구 화랑로 260,경기도 안산시 단원구 초지동 666,37.31947602,126.8164939,1666-0420,경기도 교통약자 광역이동지원센터,00:00,23:59,00:00,23:59,안산시,서울+인천+경기도,보행상중증장애인+일시적휠체어이용자,기본 1700원(10km)+추가 100원(5km),안산도시공사,031-8085-7497,2026-04-08,Y,N
안성시 교통약자이동지원센터,경기도 안성시 보개면 종합운동장로 162,경기도 안성시 보개면 양복리 210,37.01319895,127.3278403,031-677-6655,경기도 광역이동지원시스템,00:00,23:59,00:00,23:59,안성시 전역,경기도+서울특별시+인천광역시+천안시+진천군+음성군,보행상 중증장애인+일시적 휠체어 이용자+교통약자 중 대중교통 이용이 어려운 사람,기본요금: 1500/10km+추가요금: 100원/5km,경기도 안성시 교통약자이동지원센터,031-677-6655,2024-03-11,Y,N
안양시교통약자이동지원센터(착한수레),경기도 안양시 동안구 평촌대로 389,경기도 안양시 동안구 비산동 1023,37.40629131,126.9487366,031-389-5200,경기도광역이동지원시스템,00:00,23:59,00:00,23:59,안양,"서울, 인천 및 경기도 31개 시군","심한 장애인으로서 보행상 중증보행 장애인, 휠체어 이용자",10km이내 1500원 + 추가 5km당 100원 + 기타(주차비 등),안양도시공사,031-389-5363,2025-11-28,Y,N
양구군 장애인생활이동지원센터,강원특별자치도 양구군 양구읍 비봉로73번길 12,강원특별자치도 양구군 양구읍 하리 98-9,38.10874852,127.9864049,033-481-7575,없음,09:00,18:00,09:00,18:00,양구군 전지역,춘천+원주+서울,모든 장애인,관내 무료+춘천왕복 12천원+서울왕복28천원,사)강원특별자치도시각장애인연합회 양구군지회,033-481-7575,2024-09-06,Y,N
양주시교통약자이동지원센터,경기도 양주시 광적면 부흥로618번길 303,경기도 양주시 광적면 광석리 132,37.81249951,126.9723084,031-861-9977,양주시 교통약자 스마트앱,07:00,23:00,00:00,23:59,관내 전지역,공항+경기북부+서울(병원진료시)+도봉산역 환승센터+수락산역+구파발역,장애의 정도가 심한 장애인 중 보행상 장애인+65세 이상 대중교통 이용이 어려운 사람(진단서)+임산부(산모수첩) 등,(기본요금) 10Km이내 1200원+(거리요금)기본요금 외 10Km 초과 시 5Km마다 100원 추가+유료도로 및 주차요금 이용자 부담,경기도 양주시청 대중교통과,031-8082-6602,2025-09-12,Y,N
양평군교통약자이동지원센터,경기도 양평군 양평읍 마유산로 9,경기도 양평군 양평읍 양근리 540-1,37.49776189,127.4871469,1899-8268,인터넷예약시스템,09:00,18:00,08:00,21:00,양평군 전지역,경기도 전역+인천광역시+서울특별시+강원도(홍천군+횡성군+원주시),장애정도가 심한장애인+일시장애+고령자+임산부 등,기본요금 1500원(10km 이내)+추가요금 100원(5km 추가 시),경기도 양평군청 교통과,031-770-3762,2023-05-24,Y,N
여주시 교통약자이동지원센터,"경기도 여주시 여흥로160번길 20, 여흥동공영주차장 1층",경기도 여주시 상동 357,37.29460883,127.6403935,1522-2796,없음,00:00,23:59,00:00,23:59,여주시 전지역,서울특별시+경기도+인천광역시+음성군+충주시+원주시,장애인+임산부 및 영유아 동반+일시적으로 휠체어를 이용하는 사람 중 대중교통 이용이 어려운 사람+교통약자를 동반하는 가족 및 보호자+그밖에 특별교통수단이 필요하다고 인정하는 사람,관내 1500원(정액제)+관외(10km 이내 기본 1500원 초과 요금 5Km당 100원)+고속도로 통행료(기초생활수급자 통행료 지원)ㆍ주차료 이용자 부담+기초생활수급자 50퍼센트 할인+시계외 및 심야시간(0시~4시) 20퍼센트 할증,경기도 여주시청,031-887-2720,2026-01-12,Y,N
연천군교통약자이동지원센터,"경기도 연천군 전곡읍 선사로 14-71, 어린이교통랜드 2층",경기도 연천군 전곡읍 전곡리 687-2,38.0154513,127.058533,031-835-1155,경기도 광역이동지원시스템,07:00,22:00,00:00,23:59,연천군 전지역,경기도+서울+인천+강원도 철원,"① 특별교통수단 이용대상자는 다음 각호와 같이 규정한다. 1. 「교통약자의 이동편의 증진법 시행규칙」 제6조제1항에 따른 중증보행장애인으로 [별표1]에 따른 이용자 2. 대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서(의료법 제3조에 따른 종합병원급 이상에서 발급)를 제출한 휠체어 이용자 3. 제1호에 따른 중증보행장애인 중 중복장애의 경우 주장애 또는 부장애중 어느 하나가 심한 장애이면서 중복 장애 중 보행상 장애가 있는 장애인 4. 제1호~제3호에 해당하는 교통약자를 동반하는 가족 및 보호자② 대체수단 중 교통약자전용차량의 이용대상자는 다음 각호와 같이 규정한다. 1. 제1항제1호에서 정하고 있는 사람 중 휠체어를 이용하지 않는 사람 2. 그 외에 시군 조례로 정한 교통약자 3. 제2항 제1호 및 제2호에 해당하는 교통약자를 동반하는 가족 및 보호자③ 제1항 및 제2항에 따른 이용자임에도 불구하고 위급한 상황 발생 시에는 「응급의료에 관한 법률」에서 제시하고 있는 구급차를 이용해야 한다. ④ 제1항에 따른 이용대상자 중 휠체어를 이용하지 않는 사람은 특별교통수단 및 대체수단을 동시에 접수하여 이용할 수 없다. ⑤ 제1항 및 제2항에 따른 의학적 진단서는 의료법 제3조에 따른 종합병원급이상에서 발급한 진단서를 말한다. 다만, 광역시행 이전(’23. 10. 4. 이전) 이용자가 수술받은 병원(단, 의료법 제3조에 따른 병원급만 인정)에서 발급한 진단서의 유효기간이 남은 경우 이를 인정한다. ⑥ 제5항에 따른 진단서에는 대중교통 이용이 어렵고 휠체어 이용이 필요하다는 내용과 그 기간이 명확한 숫자로 명시되어야 한다. 다만, 기간이 명시되지 않은 경우 그 효력은 진단서 발급일로부터 6개월로 본다. ⑦ 제1항 및 제2항에 따른 가족 및 보호자 탑승 가능 인원은 차량 내 탑승할 수 있는 좌석 수 범위 내에서 운전원을 제외한 인원으로 한다. ⑧ 제1항에도 불구하고 의료법 제3조에 따른 종합병원급 이상에서 진단서를 발급받기 위해 특별교통수",1500원(기본)+10KM  초과시 5KM당 100원 추가,"경기도 교통약자 광역이동지원센터, 연천군시설관리공단 교통약자이동지원센터",031-835-1155,2025-11-24,Y,N
오산시교통약자이동지원센터,경기도 오산시 경기동로 15,경기도 오산시 오산동 49,37.156843,127.0726163,031-378-7816,경기도광역이동지원시스템,09:00,18:00,00:00,23:59,오산시,서울특별시+경기도+인천광역시,"특별교통수단:1. 「교통약자의 이동편의 증진법 시행규칙」 제6조제1항에 따른 중증보행장애인으로 [별표1]에 따른 이용자+2. 대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서(의료법 제3조에 따른 종합병원급 이상에서 발급)를 제출한 휠체어 이용자+3. 제1호에 따른 중증보행장애인 중 중복장애의 경우 주장애 또는 부장애 중 어느 하나가 심한 장애이면서 중복 장애 중 보행상 장애가 있는 장애인+4. 제1호~제3호에 해당하는 교통약자를 동반하는 가족 및 보호자+대체수단:비휠체어 장애인+국가유공자 상이등급 3급 이상에 해당하는 사람으로 대중교통의 이용이 어려운 사람+대중교통 이용이 어렵다는 의학적 진단서를 제출한 장애인 또는 국가유공자, 65세 이상, 임산부","이용요금의 기본구간은 경기도 시내버스 요금을 적용하고, 10km 초과 시 5km당 100원으로 정함.(주차료는 이용자 부담 원칙)",경기도 오산시,031-8036-7714,2025-11-24,Y,N
용인시교통약자이동지원센터,경기도 용인시 처인구 동백죽전대로 61,경기도 용인시 처인구 삼가동 42-1,37.24963097,127.165158,1666-0420,,07:00,22:00,00:00,23:59,용인전역,수도권,○특별교통수단 대상자+1. 교통약자이동편의 증진법 시행규칙 제6조 제1항에 따른 중증 보행 장애인으로 별표1에 따른 이용자+2. 대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서 (의료 법 제3조에 따른 종합병원 급 이상에서 발급)를 제출한 휠체어 이용자+○대체수단(바우처택시) 이용대상자+1. 보행상장애가 있는 심한 장애인중 휠체어를 이용하지 않는 사람+2. 이동에 심한 불편을 느끼는 교통약자로서 대체수단이 필요하다고 인정하는 사람+3. 임산부 임신확인서 기준으로 임신 확인일 ~ 출산 후 6개월까지 이용 가능,교통약자 특별교통수단(운영범위: 서울특별시+인천광역시+경기도 전역) 기본요금 1700원/10Km(추가 거리할증 100원/5Km)+교통약자 콜택시 1700원(운행거리 상관없음),용인도시공사,031-330-3900,2026-04-15,Y,N
음성군 특별교통수단,충청북도 음성군 금왕읍 무극로 370,충청북도 음성군 금왕읍 금석리 98,36.99372848,127.6042415,1533-0220,충청북도 광역이동지원센터,00:00,23:59,08:00,22:00,음성군 전역,충청북도 전역+서울특별시+경기 여주/안성/이천시,중증보행상장애인 등 「음성군 교통약자를 위한 특별교통수단 운영 조례」 제9조 참조,5km미만 1000원+5km이상 10km미만 2000원+10km이상 1km당 250원 추가,충북지체장애인협회 음성군지회,043-883-2908,2025-12-26,Y,N
의왕시 교통약자이동지원센터,경기도 의왕시 왕소나무길 29-15,경기도 의왕시 월암동 602-2,37.30274385,126.959074,1666-0420,없음,00:00,23:59,00:00,23:59,의왕+안양+군포+과천,의왕+경기+서울+인천,"장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표1에 따른 장애의 정도가 심한 장애인으로서 버스, 지하철 등 대중교통 이용이 어려운 사람+65세 이상으로 버스,지하철 등 대중교통 이용이 어려운 사람+버스,지하철 등의 대중교통 이용이 어려운 임산부+그 밖에 혼자서 외출이 곤란하여 시장이 특별교통수단이 필요하다고 인정하는 사람+제1호부터 제4호까지의 규정에 해당하는 교통약자를 동반하는 가족 및 보호자",기본요금: 1500원(10km 초과 5km당 100원 추가요금),의왕도시공사,1666-0420,2025-03-25,Y,N
의왕시 교통약자이동지원센터(경기도 광역 이동서비스),경기도 의왕시 왕소나무길 29-15,경기도 의왕시 월암동 602-2,37.30274385,126.959074,1666-0420,없음,07:00,22:00,00:00,23:59,의왕+안양+군포+과천,의왕+경기+서울+인천,"장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표1에 따른 장애의 정도가 심한 장애인으로서 버스, 지하철 등 대중교통 이용이 어려운 사람+65세 이상으로 버스,지하철 등 대중교통 이용이 어려운 사람+버스,지하철 등의 대중교통 이용이 어려운 임산부+그 밖에 혼자서 외출이 곤란하여 시장이 특별교통수단이 필요하다고 인정하는 사람+제1호부터 제4호까지의 규정에 해당하는 교통약자를 동반하는 가족 및 보호자",기본요금: 1500원(10km 초과 5km당 100원 추가요금),의왕도시공사,1666-0420,2025-03-25,Y,N
의왕시 교통약자이동지원센터(경기도 광역 이동서비스),경기도 의왕시 왕소나무길 29-15,경기도 의왕시 월암동 602-2,37.30274385,126.959074,1666-0420,경기도교통약자이동지원시스템,00:00,23:59,00:00,23:59,전지역,경기+서울+인천,교통약자의 이동편의 증진법 시행규칙 제6조제1항에 따른 중증보행장애인으로 별표1에 따른 이용자+대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서(의료법 제3조에 따른 종합병원급 이상에서 발급)를 제출한 휠체어 이용자+제1항 제1~2호에 해당하는 교통약자와 동반하는 가족 또는 보호자,"기본요금: 1,500원(10km 초과 5km당 100원 추가요금)",의왕도시공사,031-8086-7469,2025-11-04,Y,N
